,location,total_sqft,bath,price,bhk
75,5th Phase JP Nagar,552.0,1.0,23.5,1
76,5th Phase JP Nagar,1200.0,2.0,51.0,2
80,5th Phase JP Nagar,1030.0,2.0,57.0,2
81,5th Phase JP Nagar,1200.0,2.0,68.0,2
82,5th Phase JP Nagar,1190.0,2.0,61.8,2
83,5th Phase JP Nagar,4000.0,5.0,170.0,5
84,5th Phase JP Nagar,1080.0,2.0,53.0,2
85,5th Phase JP Nagar,1041.0,2.0,54.0,2
86,5th Phase JP Nagar,812.0,2.0,42.0,2
87,5th Phase JP Nagar,1010.0,2.0,57.0,2
89,5th Phase JP Nagar,2500.0,8.0,95.0,7
90,5th Phase JP Nagar,1075.0,2.0,60.0,2
91,5th Phase JP Nagar,2400.0,4.0,228.0,4
92,6th Phase JP Nagar,1192.0,2.0,74.0,2
93,6th Phase JP Nagar,1180.0,2.0,80.0,2
94,6th Phase JP Nagar,3245.0,4.0,250.0,4
96,6th Phase JP Nagar,1280.0,2.0,56.0,2
97,6th Phase JP Nagar,1140.0,2.0,65.0,2
98,6th Phase JP Nagar,600.0,1.0,75.0,1
99,6th Phase JP Nagar,2040.0,3.0,200.0,3
100,6th Phase JP Nagar,1213.0,2.0,63.0,2
102,6th Phase JP Nagar,1170.0,2.0,120.0,2
103,6th Phase JP Nagar,1216.0,2.0,60.0,2
104,6th Phase JP Nagar,1460.0,2.0,80.0,2
105,6th Phase JP Nagar,2003.0,3.0,200.0,3
107,6th Phase JP Nagar,1810.0,3.0,131.0,3
108,6th Phase JP Nagar,750.0,1.0,105.0,1
109,6th Phase JP Nagar,1515.0,2.0,135.0,3
110,6th Phase JP Nagar,1192.0,2.0,75.0,2
111,6th Phase JP Nagar,1280.0,2.0,88.0,2
112,7th Phase JP Nagar,1000.0,2.0,38.0,2
113,7th Phase JP Nagar,1080.0,2.0,72.0,2
114,7th Phase JP Nagar,1270.0,2.0,93.0,2
115,7th Phase JP Nagar,1420.0,2.0,100.0,3
116,7th Phase JP Nagar,1850.0,3.0,150.0,3
117,7th Phase JP Nagar,1245.0,2.0,94.0,2
118,7th Phase JP Nagar,1175.0,2.0,82.0,2
119,7th Phase JP Nagar,1400.0,2.0,95.0,3
120,7th Phase JP Nagar,3600.0,4.0,400.0,4
121,7th Phase JP Nagar,2225.0,3.0,160.0,3
122,7th Phase JP Nagar,1050.0,2.0,71.0,2
123,7th Phase JP Nagar,1100.0,2.0,46.0,2
124,7th Phase JP Nagar,918.0,2.0,50.49,2
125,7th Phase JP Nagar,1450.0,2.0,100.0,3
126,7th Phase JP Nagar,1040.0,2.0,39.52,2
127,7th Phase JP Nagar,1070.0,2.0,42.79,2
128,7th Phase JP Nagar,1190.0,2.0,49.98,2
129,7th Phase JP Nagar,1500.0,3.0,170.0,3
130,7th Phase JP Nagar,1420.0,2.0,96.0,3
131,7th Phase JP Nagar,1680.0,3.0,120.0,3
132,7th Phase JP Nagar,1050.0,2.0,42.0,2
133,7th Phase JP Nagar,980.0,2.0,69.0,2
134,7th Phase JP Nagar,1035.0,2.0,41.39,2
135,7th Phase JP Nagar,1370.0,2.0,56.17,2
136,7th Phase JP Nagar,1180.0,2.0,72.0,2
137,7th Phase JP Nagar,5080.0,7.0,450.0,6
142,7th Phase JP Nagar,1400.0,3.0,115.0,3
143,7th Phase JP Nagar,1075.0,2.0,42.99,2
144,7th Phase JP Nagar,1100.0,2.0,44.0,2
145,7th Phase JP Nagar,1270.0,2.0,83.0,2
147,7th Phase JP Nagar,2503.0,4.0,188.0,4
148,7th Phase JP Nagar,2200.0,3.0,190.0,3
149,7th Phase JP Nagar,1035.0,2.0,39.33,2
151,7th Phase JP Nagar,1050.0,2.0,42.0,2
153,7th Phase JP Nagar,1575.0,2.0,110.0,3
154,7th Phase JP Nagar,1850.0,3.0,140.0,3
157,7th Phase JP Nagar,3600.0,3.0,410.0,4
158,7th Phase JP Nagar,4800.0,7.0,170.0,7
160,7th Phase JP Nagar,1575.0,2.0,120.0,3
161,7th Phase JP Nagar,1850.0,3.0,150.0,3
162,7th Phase JP Nagar,1680.0,3.0,120.0,3
163,7th Phase JP Nagar,1212.0,3.0,42.0,2
164,7th Phase JP Nagar,1175.0,2.0,82.5,2
167,7th Phase JP Nagar,1215.0,2.0,90.0,2
168,7th Phase JP Nagar,1050.0,2.0,75.0,2
169,7th Phase JP Nagar,1300.0,3.0,89.13,3
170,7th Phase JP Nagar,1130.0,2.0,73.0,2
171,7th Phase JP Nagar,1450.0,3.0,100.0,3
173,7th Phase JP Nagar,1050.0,2.0,50.0,2
174,7th Phase JP Nagar,1275.0,2.0,87.0,2
176,7th Phase JP Nagar,1650.0,3.0,110.0,3
177,7th Phase JP Nagar,850.0,2.0,42.0,2
178,7th Phase JP Nagar,1680.0,3.0,117.0,3
179,7th Phase JP Nagar,1850.0,3.0,150.0,3
180,7th Phase JP Nagar,1236.0,2.0,61.33,2
181,7th Phase JP Nagar,1000.0,2.0,53.0,2
182,7th Phase JP Nagar,1680.0,3.0,125.0,3
183,7th Phase JP Nagar,1675.0,2.0,135.0,3
184,7th Phase JP Nagar,1035.0,2.0,39.33,2
185,7th Phase JP Nagar,1187.0,2.0,59.0,2
186,7th Phase JP Nagar,1850.0,3.0,155.0,3
187,7th Phase JP Nagar,1000.0,2.0,61.0,2
188,7th Phase JP Nagar,1460.0,2.0,100.0,3
189,7th Phase JP Nagar,1650.0,3.0,110.0,3
190,7th Phase JP Nagar,1200.0,2.0,62.5,2
191,7th Phase JP Nagar,1000.0,2.0,70.65,2
192,7th Phase JP Nagar,1070.0,2.0,42.0,2
193,7th Phase JP Nagar,1080.0,2.0,75.0,2
194,7th Phase JP Nagar,2100.0,3.0,200.0,3
196,7th Phase JP Nagar,1680.0,3.0,125.0,3
197,7th Phase JP Nagar,1040.0,2.0,41.59,2
198,7th Phase JP Nagar,1100.0,2.0,44.0,2
199,7th Phase JP Nagar,1460.0,2.0,97.0,3
200,7th Phase JP Nagar,1120.0,2.0,65.0,2
201,7th Phase JP Nagar,1100.0,3.0,60.0,2
202,7th Phase JP Nagar,1790.0,3.0,120.0,3
203,7th Phase JP Nagar,1680.0,3.0,117.0,3
204,7th Phase JP Nagar,1050.0,2.0,77.0,2
205,7th Phase JP Nagar,1174.0,2.0,47.0,2
206,7th Phase JP Nagar,1050.0,2.0,75.0,2
207,7th Phase JP Nagar,1040.0,2.0,75.0,2
208,7th Phase JP Nagar,1400.0,2.0,95.0,3
209,7th Phase JP Nagar,1800.0,3.0,130.0,3
210,7th Phase JP Nagar,1050.0,2.0,68.0,2
212,7th Phase JP Nagar,1000.0,2.0,60.0,2
213,7th Phase JP Nagar,1680.0,3.0,125.0,3
214,7th Phase JP Nagar,980.0,2.0,86.0,2
216,7th Phase JP Nagar,1050.0,2.0,77.47,2
217,7th Phase JP Nagar,1270.0,2.0,80.0,2
219,7th Phase JP Nagar,1680.0,3.0,122.0,3
220,7th Phase JP Nagar,1070.0,2.0,42.79,2
221,7th Phase JP Nagar,1130.0,2.0,85.0,2
222,7th Phase JP Nagar,1680.0,3.0,130.0,3
225,7th Phase JP Nagar,2980.0,4.0,260.0,3
226,7th Phase JP Nagar,980.0,2.0,77.44,2
227,7th Phase JP Nagar,1680.0,3.0,112.0,3
229,7th Phase JP Nagar,2095.0,3.0,150.0,3
231,7th Phase JP Nagar,3200.0,4.0,350.0,4
232,7th Phase JP Nagar,1976.0,3.0,145.0,3
233,7th Phase JP Nagar,1600.0,2.0,110.0,3
234,7th Phase JP Nagar,1765.0,3.0,118.0,3
235,7th Phase JP Nagar,1275.0,2.0,88.0,3
236,7th Phase JP Nagar,1450.0,2.0,102.0,3
237,7th Phase JP Nagar,1035.0,2.0,39.33,2
238,7th Phase JP Nagar,1575.0,2.0,110.0,3
239,7th Phase JP Nagar,2100.0,3.0,200.0,3
241,7th Phase JP Nagar,750.0,1.0,47.0,1
242,7th Phase JP Nagar,1050.0,2.0,42.0,2
243,7th Phase JP Nagar,990.0,2.0,50.0,2
244,7th Phase JP Nagar,1000.0,1.0,60.0,1
246,7th Phase JP Nagar,1100.0,2.0,44.0,2
247,7th Phase JP Nagar,1430.0,2.0,102.0,3
248,7th Phase JP Nagar,1128.0,2.0,60.0,2
249,7th Phase JP Nagar,2100.0,3.0,190.0,3
250,7th Phase JP Nagar,1140.0,2.0,57.0,2
251,7th Phase JP Nagar,1420.0,3.0,90.0,3
252,7th Phase JP Nagar,1530.0,2.0,108.0,2
253,8th Phase JP Nagar,1073.5,2.0,54.005,2
254,8th Phase JP Nagar,451.0,1.0,29.9,1
256,8th Phase JP Nagar,1062.0,2.0,42.47,2
258,8th Phase JP Nagar,1455.0,3.0,73.31,3
259,8th Phase JP Nagar,871.0,2.0,55.0,2
260,8th Phase JP Nagar,1098.0,2.0,43.91,2
261,8th Phase JP Nagar,1800.0,3.0,80.0,3
263,8th Phase JP Nagar,1080.0,2.0,38.0,2
264,8th Phase JP Nagar,1059.0,2.0,34.5,2
265,8th Phase JP Nagar,1080.0,2.0,35.0,2
267,8th Phase JP Nagar,1062.0,2.0,42.47,2
268,8th Phase JP Nagar,500.0,1.0,31.0,1
269,8th Phase JP Nagar,1100.0,2.0,35.0,2
271,8th Phase JP Nagar,1035.0,2.0,39.33,2
272,8th Phase JP Nagar,909.0,2.0,40.9,2
273,8th Phase JP Nagar,1431.5,3.0,72.02,3
274,8th Phase JP Nagar,1900.0,4.0,90.0,3
275,8th Phase JP Nagar,500.0,1.0,30.0,1
276,8th Phase JP Nagar,1125.0,2.0,36.94,2
277,8th Phase JP Nagar,1200.0,3.0,110.0,4
278,8th Phase JP Nagar,1100.0,2.0,35.0,2
279,8th Phase JP Nagar,1089.0,2.0,43.55,2
281,8th Phase JP Nagar,1504.0,2.0,83.0,3
284,8th Phase JP Nagar,1089.0,2.0,43.55,2
286,8th Phase JP Nagar,1513.0,2.0,62.0,2
287,8th Phase JP Nagar,1298.0,2.0,59.0,2
288,8th Phase JP Nagar,1006.0,2.0,44.0,2
289,8th Phase JP Nagar,500.0,1.0,33.0,1
290,8th Phase JP Nagar,1160.0,2.0,95.0,2
291,8th Phase JP Nagar,1245.0,2.0,59.0,2
292,8th Phase JP Nagar,1510.0,2.0,80.0,2
293,8th Phase JP Nagar,3300.0,3.0,165.0,3
294,8th Phase JP Nagar,1730.0,5.0,75.0,5
297,8th Phase JP Nagar,1046.0,2.0,48.0,2
299,8th Phase JP Nagar,1408.0,3.0,80.0,3
301,9th Phase JP Nagar,1005.0,2.0,50.0,2
303,9th Phase JP Nagar,1100.0,2.0,65.0,2
304,9th Phase JP Nagar,1080.0,2.0,37.0,2
305,9th Phase JP Nagar,1035.0,2.0,45.0,2
306,9th Phase JP Nagar,5000.0,4.0,290.0,4
307,9th Phase JP Nagar,1164.0,2.0,56.0,2
308,9th Phase JP Nagar,1005.0,2.0,42.0,2
309,9th Phase JP Nagar,3500.0,4.0,300.0,4
310,9th Phase JP Nagar,1127.0,2.0,50.0,2
311,9th Phase JP Nagar,1005.0,2.0,43.0,2
312,9th Phase JP Nagar,835.0,2.0,37.0,2
313,9th Phase JP Nagar,1050.0,2.0,39.0,2
314,9th Phase JP Nagar,660.0,2.0,27.0,2
315,9th Phase JP Nagar,600.0,1.0,20.0,1
316,9th Phase JP Nagar,1466.0,2.0,71.0,2
317,9th Phase JP Nagar,1890.0,2.0,93.0,3
318,9th Phase JP Nagar,1079.0,2.0,60.0,2
319,9th Phase JP Nagar,1480.0,2.0,80.0,2
320,9th Phase JP Nagar,1200.0,2.0,80.0,2
321,9th Phase JP Nagar,905.0,2.0,32.0,2
322,9th Phase JP Nagar,1073.0,2.0,52.36,2
323,9th Phase JP Nagar,1719.3,2.0,88.0,3
324,9th Phase JP Nagar,1780.0,3.0,88.0,3
326,9th Phase JP Nagar,1522.0,3.0,90.0,3
329,9th Phase JP Nagar,890.0,2.0,45.0,2
331,9th Phase JP Nagar,5000.0,4.0,300.0,4
333,9th Phase JP Nagar,1050.0,2.0,35.0,2
334,9th Phase JP Nagar,1331.95,2.0,69.0,2
335,AECS Layout,1100.0,2.0,45.0,2
336,AECS Layout,1620.0,3.0,98.0,3
337,AECS Layout,1028.0,2.0,42.0,2
338,AECS Layout,1199.0,2.0,65.0,2
339,AECS Layout,1080.0,2.0,55.0,2
341,AECS Layout,1045.0,2.0,36.58,2
342,AECS Layout,1123.0,2.0,64.0,2
343,AECS Layout,1308.0,2.0,60.0,2
344,AECS Layout,1135.0,2.0,68.0,2
345,AECS Layout,1005.0,2.0,55.0,2
347,Abbigere,985.0,2.0,40.39,2
348,Abbigere,2200.0,6.0,68.0,6
349,Abbigere,765.0,2.0,30.0,1
350,Abbigere,880.0,2.0,35.0,2
351,Abbigere,795.0,2.0,32.54,2
352,Abbigere,1005.0,2.0,39.59,2
353,Abbigere,734.0,1.0,19.82,1
355,Abbigere,1020.0,2.0,41.82,2
358,Abbigere,985.0,2.0,40.39,2
359,Abbigere,2500.0,6.0,81.0,6
360,Abbigere,795.0,2.0,32.54,2
361,Abbigere,1130.0,2.0,46.33,2
362,Abbigere,795.0,1.0,32.6,2
363,Abbigere,3000.0,8.0,150.0,8
364,Abbigere,985.0,2.0,38.92,2
365,Abbigere,1000.0,2.0,41.0,2
366,Abbigere,995.0,2.0,40.8,2
367,Abbigere,1020.0,2.0,40.8,2
368,Akshaya Nagar,2061.0,3.0,200.0,3
369,Akshaya Nagar,1388.0,2.0,57.0,2
370,Akshaya Nagar,1070.0,2.0,54.0,2
372,Akshaya Nagar,1280.0,2.0,58.0,2
373,Akshaya Nagar,1662.0,3.0,85.1,3
374,Akshaya Nagar,1897.0,3.0,120.0,3
375,Akshaya Nagar,1410.0,2.0,75.0,3
376,Akshaya Nagar,1360.0,2.0,85.0,3
377,Akshaya Nagar,1476.0,3.0,120.0,3
379,Akshaya Nagar,1720.0,3.0,134.0,3
380,Akshaya Nagar,1410.0,2.0,80.0,3
381,Akshaya Nagar,1662.0,3.0,85.0,3
382,Akshaya Nagar,1662.0,3.0,85.5,3
383,Akshaya Nagar,1280.0,2.0,60.0,2
384,Akshaya Nagar,1666.0,3.0,95.0,3
385,Akshaya Nagar,1575.0,3.0,90.0,3
386,Akshaya Nagar,1430.0,2.0,75.0,3
387,Akshaya Nagar,1419.0,2.0,73.0,3
388,Akshaya Nagar,1280.0,2.0,60.0,2
389,Akshaya Nagar,1200.0,2.0,50.0,2
390,Akshaya Nagar,1092.0,2.0,60.0,2
391,Akshaya Nagar,1690.0,3.0,85.0,3
392,Akshaya Nagar,1700.0,3.0,80.0,3
393,Akshaya Nagar,1897.0,4.0,93.0,3
394,Akshaya Nagar,1884.0,3.0,98.0,3
395,Akshaya Nagar,2061.0,3.0,175.0,3
397,Akshaya Nagar,1314.0,2.0,68.8,2
398,Akshaya Nagar,1690.0,3.0,85.0,3
399,Akshaya Nagar,1265.0,2.0,67.0,2
400,Akshaya Nagar,1126.0,2.0,55.0,2
402,Akshaya Nagar,1662.0,3.0,90.0,3
403,Akshaya Nagar,1420.0,2.0,75.0,3
405,Akshaya Nagar,1412.0,2.0,88.0,3
406,Akshaya Nagar,1434.0,3.0,84.0,3
407,Akshaya Nagar,1890.0,4.0,100.0,3
408,Akshaya Nagar,2650.0,3.0,125.0,3
409,Akshaya Nagar,1419.0,2.0,87.0,3
410,Akshaya Nagar,1300.0,2.0,54.0,2
411,Akshaya Nagar,1690.0,3.0,85.0,3
412,Akshaya Nagar,1000.0,2.0,38.0,2
413,Akshaya Nagar,1113.0,2.0,52.0,2
414,Akshaya Nagar,1820.0,4.0,95.0,3
415,Akshaya Nagar,2061.0,4.0,175.0,3
416,Akshaya Nagar,2000.0,1.0,200.0,1
417,Akshaya Nagar,1100.0,2.0,48.0,2
418,Akshaya Nagar,1896.0,3.0,102.0,3
419,Akshaya Nagar,1300.0,2.0,66.0,2
420,Akshaya Nagar,1225.0,2.0,68.0,2
421,Akshaya Nagar,1179.0,2.0,51.0,2
422,Akshaya Nagar,1421.0,2.0,73.0,3
423,Akshaya Nagar,1200.0,2.0,45.0,2
424,Akshaya Nagar,1893.0,4.0,95.0,3
425,Akshaya Nagar,900.0,2.0,45.0,2
426,Akshaya Nagar,1200.0,4.0,125.0,4
427,Ambalipura,1105.0,2.0,75.0,2
428,Ambalipura,1800.0,3.0,110.0,3
429,Ambalipura,1390.0,2.0,175.0,3
430,Ambalipura,1150.0,2.0,80.0,2
431,Ambalipura,1250.0,2.0,66.25,2
432,Ambalipura,1332.0,2.0,79.0,2
433,Ambalipura,1730.0,3.0,120.0,3
434,Ambalipura,896.0,2.0,30.13,2
435,Ambalipura,3500.0,3.0,198.0,3
436,Ambalipura,1230.0,2.0,66.25,2
437,Ambalipura,1351.0,2.0,77.0,2
439,Ambalipura,3300.0,4.0,329.0,4
440,Ambalipura,950.0,2.0,31.95,2
441,Ambalipura,1625.0,2.0,145.0,3
442,Ambalipura,1817.0,3.0,102.0,3
444,Ambalipura,1303.0,2.0,80.0,2
445,Ambalipura,1607.0,2.0,112.0,3
446,Ambalipura,770.0,1.0,43.82,1
447,Ambalipura,860.0,2.0,28.93,2
448,Ambalipura,1700.0,2.0,76.0,2
449,Ambalipura,1060.0,2.0,58.5,2
450,Ambalipura,1650.0,3.0,100.0,3
451,Ambalipura,1607.0,2.0,112.0,3
452,Ambalipura,1198.0,2.0,80.0,2
453,Ambalipura,1615.0,2.0,150.0,3
454,Ambedkar Nagar,2900.0,3.0,300.0,4
455,Ambedkar Nagar,1935.0,4.0,130.0,3
456,Ambedkar Nagar,1424.0,2.0,90.0,2
457,Ambedkar Nagar,2225.0,4.0,169.0,3
458,Ambedkar Nagar,1862.0,3.0,120.0,3
459,Ambedkar Nagar,1850.0,4.0,139.0,3
460,Ambedkar Nagar,1936.0,4.0,126.0,3
461,Ambedkar Nagar,1862.0,3.0,119.0,3
462,Ambedkar Nagar,5530.0,5.0,627.0,5
463,Ambedkar Nagar,1424.0,2.0,90.0,2
464,Ambedkar Nagar,2150.0,4.0,125.0,3
465,Ambedkar Nagar,3530.0,4.0,290.0,4
466,Ambedkar Nagar,1856.0,3.0,120.0,3
467,Ambedkar Nagar,1852.0,3.0,130.0,3
468,Ambedkar Nagar,1850.0,4.0,120.0,3
469,Ambedkar Nagar,1367.0,2.0,86.0,2
470,Ambedkar Nagar,3565.0,4.0,255.0,4
471,Ambedkar Nagar,1409.0,2.0,95.0,2
472,Ambedkar Nagar,1950.0,4.0,120.0,3
473,Ambedkar Nagar,1921.0,4.0,129.0,3
474,Ambedkar Nagar,1920.0,4.0,121.0,3
475,Ambedkar Nagar,5000.0,4.0,536.0,4
476,Ambedkar Nagar,1935.0,4.0,125.0,3
477,Ambedkar Nagar,1852.0,4.0,122.0,3
478,Ambedkar Nagar,1950.0,4.0,120.0,3
479,Ambedkar Nagar,1852.0,3.0,125.0,3
480,Ambedkar Nagar,2900.0,3.0,297.0,3
481,Ambedkar Nagar,1850.0,4.0,121.0,3
482,Ambedkar Nagar,1425.0,2.0,94.0,2
483,Ambedkar Nagar,2395.0,4.0,150.0,3
484,Amruthahalli,900.0,2.0,40.0,2
485,Amruthahalli,1200.0,2.0,55.0,2
486,Amruthahalli,4400.0,3.0,475.0,2
487,Amruthahalli,1900.0,3.0,135.0,3
488,Amruthahalli,924.0,2.0,45.0,2
489,Amruthahalli,900.0,2.0,60.0,2
490,Amruthahalli,1100.0,2.0,45.0,2
491,Amruthahalli,1200.0,2.0,55.0,2
495,Amruthahalli,1450.0,2.0,85.0,3
496,Amruthahalli,1200.0,2.0,55.0,2
497,Amruthahalli,1250.0,2.0,79.0,2
498,Amruthahalli,1190.0,2.0,50.0,2
499,Amruthahalli,1202.0,2.0,65.0,2
500,Amruthahalli,1340.0,2.0,75.0,2
501,Amruthahalli,2650.0,4.0,175.0,3
502,Amruthahalli,1450.0,2.0,90.0,3
503,Amruthahalli,1025.0,2.0,42.0,2
504,Amruthahalli,485.0,1.0,19.5,1
505,Amruthahalli,600.0,1.0,55.0,1
506,Anandapura,1167.0,2.0,43.76,2
507,Anandapura,1000.0,2.0,55.0,2
508,Anandapura,1141.0,2.0,42.79,2
509,Anandapura,900.0,2.0,64.0,2
510,Anandapura,1475.0,2.0,50.0,4
512,Anandapura,1200.0,2.0,67.0,2
513,Anandapura,1200.0,2.0,58.0,2
514,Anandapura,1151.0,2.0,43.1,2
515,Anandapura,1141.0,2.0,42.75,2
516,Anandapura,900.0,2.0,48.0,2
517,Anandapura,1749.0,4.0,90.0,4
518,Anandapura,1151.0,2.0,42.9,2
520,Anandapura,1250.0,2.0,45.0,2
521,Anandapura,875.0,2.0,57.0,2
522,Anandapura,1151.0,2.0,43.16,2
523,Anandapura,1200.0,2.0,58.0,2
524,Anandapura,616.0,3.0,45.0,2
525,Anandapura,1200.0,2.0,66.0,3
526,Anandapura,1415.0,2.0,74.0,3
527,Anandapura,1200.0,2.0,50.0,2
528,Anandapura,1141.0,2.0,50.0,2
530,Ananth Nagar,500.0,1.0,14.0,1
531,Ananth Nagar,1100.0,2.0,31.5,2
532,Ananth Nagar,982.0,2.0,24.55,2
533,Ananth Nagar,500.0,2.0,14.0,1
534,Ananth Nagar,1109.0,2.0,60.0,2
535,Ananth Nagar,1200.0,2.0,65.0,3
536,Ananth Nagar,900.0,2.0,22.5,2
537,Ananth Nagar,908.0,2.0,26.0,2
538,Ananth Nagar,870.0,2.0,36.0,2
539,Ananth Nagar,937.0,2.0,35.0,2
540,Ananth Nagar,960.0,2.0,37.0,2
541,Ananth Nagar,500.0,1.0,14.0,1
542,Ananth Nagar,1000.0,2.0,29.7,2
543,Ananth Nagar,850.0,2.0,25.99,2
544,Ananth Nagar,902.0,2.0,25.26,2
545,Ananth Nagar,1470.0,3.0,54.0,3
546,Ananth Nagar,810.0,2.0,25.5,2
547,Ananth Nagar,890.0,2.0,27.0,2
548,Ananth Nagar,1200.0,2.0,36.0,2
550,Ananth Nagar,1319.0,3.0,42.0,3
551,Ananth Nagar,1000.0,2.0,25.0,2
552,Ananth Nagar,902.0,2.0,25.0,2
553,Ananth Nagar,930.0,2.0,25.99,2
554,Ananth Nagar,1074.0,2.0,26.85,2
555,Ananth Nagar,500.0,1.0,14.0,1
556,Ananth Nagar,1010.0,2.0,38.0,2
557,Ananth Nagar,992.0,2.0,24.8,2
559,Anekal,656.0,2.0,22.0,2
560,Anekal,620.0,2.0,22.0,2
561,Anekal,600.0,1.0,16.5,1
562,Anekal,925.0,2.0,40.0,2
563,Anekal,530.0,1.0,18.0,1
566,Anekal,351.0,1.0,16.0,1
567,Anekal,1035.0,2.0,38.3,2
568,Anekal,888.0,2.0,34.0,2
572,Anekal,997.0,3.0,55.0,3
574,Anekal,1500.0,4.0,99.0,3
575,Anekal,766.0,2.0,28.0,2
576,Anekal,967.0,2.0,45.0,3
577,Anekal,620.0,1.0,23.5,2
582,Anekal,400.0,1.0,11.5,1
583,Anekal,456.0,1.0,15.0,1
586,Anekal,2400.0,4.0,95.0,3
588,Anekal,1733.5,3.0,120.0,3
591,Anekal,420.0,1.0,12.5,1
592,Anekal,614.0,1.0,28.0,2
593,Anekal,1140.0,2.0,52.0,2
594,Anekal,625.0,1.0,25.0,2
595,Anjanapura,1500.0,3.0,139.0,3
596,Anjanapura,1850.0,4.0,86.0,4
597,Anjanapura,1070.0,2.0,39.0,2
598,Anjanapura,1500.0,3.0,121.0,3
599,Anjanapura,1070.0,2.0,37.0,2
600,Anjanapura,600.0,2.0,55.0,1
601,Anjanapura,950.0,2.0,40.0,2
602,Anjanapura,1280.0,2.0,45.0,3
603,Anjanapura,710.0,2.0,25.0,2
605,Anjanapura,950.0,2.0,32.0,2
